Name,Difficulty,Artist,Tags,DLCode,YTCode,ImageCount,Links
Foresight (2019 Remaster),10,Zekk,moderate|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium,17vvJqKRFdBJkaBVSBIFs_uAcA2MNpkrD,QhN9sgwF9Fs,9
星の降る丘,8,ああああ (AAAA),moderate|pseudos|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium,1H9mpXC7d1sSNMAWkE388FT1zQz12rkbO,EWrXMFdiLUc,5
プロローグ,7,ああああ (AAAA),slow|finished|camera finished|deco finished|chart finished|light vfx|one-shot|short,1VJq9vfwN3J3ITPNTw4UZh5HGkBI2FieF,y2qJ4Wx8_FQ,2
列車に乗って,11,ああああ (AAAA),moderate|unfinished|camera unfinished|deco unfinished|chart finished|light vfx|checkpoints|medium,1sJGBn27KAhG0Gs7dSDeH0fFaPWBooAam,Bw4k-gb31xo,6
ロケット発進!,9,ああああ (AAAA),slow|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|short,1aCMszHRGihWL_ZYMgmlznQ35Pq7PpEye,S8O2Pqi85kc,3
ここは宇宙ステーション,9,ああああ (AAAA),fast|unfinished|camera unfinished|deco finished|chart finished|heavy vfx|checkpoints|medium,1vzWshH5kbldO7C9AvgTdS1NsDE01ktXE,jR4o_YeZmz8,7
献花の番人,11,黒魔 (Chroma),steam|fast|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium,1tLy7iKWbAhGUj4g6dA_PXtpTrtop_9wV,MWAOQNzgsm4,14,https://steamcommunity.com/sharedfiles/filedetails/?id=3198511223
マージナル＊フロンティア,11,ああああ (AAAA),fast|unfinished|camera unfinished|deco unfinished|chart finished|light vfx|checkpoints|short,1qGrpg6UsB7GGcQbtkJScSg3XeKKM3IdD,upG2M_pydKw,4
ほしのおとしもの,9,ああああ (AAAA),moderate|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|short,1YSc7RjpDgB4shXeosEOcBaQKF2_VXMLX,tycJWXf9e8Q,3
All Dropping 8 Bit Beats,9,Roblox,slow|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|short,1TuwvQBwOAWAmN6y3OXBiMfNQeWkixOPy,es24IZNL1Is,2
A Song of Fire and Ice,4,Ramin Djawadi,slow|finished|camera finished|deco finished|chart finished|light vfx|one-shot|short,1Ovod0OmZwTJAyJMQNdvx5FoNwc5HJckK,dWuS0lGTDaE,6
A Tulip for Genji,12,BilliumMoto,moderate|unfinished|camera unfinished|deco finished|heavy vfx|checkpoints|medium,1NLwyzTXIuEm-Eg8WqGAT6aF0MjrTHToe,DTago3wg17I,11
ADOFAI Boss Rush,21,fizzd (Hafiz Azman)|cYsmix|Riya|Yooh|Gus la Flibuste|meganeko|RoDy.cOde|Linky|Valerie Hallo|Kirara Magic|Cansol|cnsouka|Polymath9|Ras|Quree|answearingmachine|Frums,fast|unfinished|camera unfinished|deco unfinished|chart finished|light vfx|checkpoints|very long,1ynevI745qZspcelh14lVprrNcoreW6y2,yApx5moB1bQ,83
Afterwork,7,Sot-C,slow|unfinished|camera unfinished|deco finished|chart finished|light vfx|checkpoints|long,1DqtebNMi54jYOWE2cJJLyEc5N2fQnaMl,2f3rcm6hY60,10
Airborne,9,Xomu|Retrograde,medium|unfinished|camera unfinished|deco unfinished|chart unfinished|heavy vfx|one-shot|medium,1qvwTyouITi0WpZmOaxlYhn_sfxRYkQG8,HDg0LFJm6g0,6
Also Someday,3,しーけー (CK),slow|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|short,1qxSYgzv9D4aYxW7uUOGLai_mjk04_QM_,fYT-pJUsxsQ,2
Backspin,17,MEMODEMO,fast|unfinished|camera unfinished|deco unfinished|chart finished|heavy vfx|one-shot|long,1l4revywZs4Uf_oMY0p_ewX2wzjN3h-xu,ySYmDS7rrQs,6
Big and Strong,8,tv room,medium|unfinished|pseudos|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|short,15xKkQzwevwbFS-3gtGm7hfcghsL7Jlqr,KFnj0i5DyJE,2
café de Mao,7,ああああ (AAAA),slow|finished|gimmick|camera finished|deco finished|chart finished|heavy vfx|checkpoints|short,1WXcKjlC_92phnaDGpQL-lnWIxO_Z5o7J,DjIVZuGpoTYc,6
conflict (tpz Overheat Remix),10,CRANKY|Siromaru|tpz,fast|finished|camera finished|deco finished|chart finished|light vfx|checkpoints|medium,1e8ml9vFm0Dcm6pmGU3FAOFtMxwOdh8In,VL7FUT8cZS0,6
Credits EX,13,Frums,fast|unfinished|camera unfinished|deco finished|chart finished|heavy vfx|checkpoints|medium,1VWHZjrZ426CAR1EICwaaSkrElTA6L26y,W1zau94eLKo,8
Distance,6,meganeko,slow|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|medium,1-KajoKS2xdRTSPI6P4veAK0NQzU-9HFk,UC--pAc5aMY,4
Dopamine Highscore,5,LeGrande,slow|finished|camera finished|deco finished|chart finished|heavy vfx|checkpoints|medium,1893tEWJApFYigtWC-HpBk5WWjzWmlNVv,UOQJzqG1FZ8,10
Dream By Coma,8,linear ring,slow|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|one-shot|short,1H8QarrV7e3gAz-jA7h535SeMAOx6Fa8I,y4GmvLI8vXw,3
Drift,9,Creo,slow|unfinished|camera unfinished|deco unfinished|chart finished|no vfx|checkpoints|medium,1X04x0KwJ9x4-cjGiNzB3iwi7oReJ9kJf,O2T2DwdDSus,6
