Category,Tag,Description,Color
Steam,steam,Is on Steam Workshop,#0b457a
Speed,slow,Slow tile BPM,#6568ff
Speed,moderate,Moderate tile BPM,#b45eff
Speed,fast,Fast tile BPM,#ff6568
Completion,finished,Level is 100% complete,#65ff68
Completion,unfinished,Level is partially complete,#edff4e
Completion,camera finished,Camera movement is 100% complete,#378b38
Completion,camera unfinished,Camera movement is partially complete,#818b2b
Completion,deco finished,Decoration and/or VFX are 100% complete,#
Completion,deco unfinished,Decoration and/or VFX are partially complete,#
